state,gdppercap_2010,gdppercap_2011,gdppercap_2012,gdppercap_2013,gdppercap_2014,gdppercap_2015
Alabama,38086,38564,38700,38976,38499,38876
Alaska,75841,75659,78911,74312,72220,72635
Arizona,40188,40710,40996,40832,40768,41083
Arkansas,36253,36852,36873,37804,38015,38007
California,55137,55520,56406,57914,59686,62132
Colorado,52454,52514,52739,53688,55221,56553
Connecticut,69120,67379,67766,66921,65985,67333
Delaware,66706,68310,67595,63946,68135,69541
District of Columbia,181747,180561,177362,173320,173974,174318
Florida,40655,39992,39775,40035,40423,41287
Georgia,44584,44838,44811,45159,46020,47024
Hawaii,52065,52296,52832,52753,52553,53994
Idaho,36862,36507,36223,37158,37639,38286
Illinois,54120,54971,55962,56214,56994,57596
Indiana,45475,45504,45528,46276,47482,46918
Iowa,49024,49368,51149,50693,53041,53927
Kansas,47210,48301,48687,48569,49371,49886
Kentucky,39569,39862,40218,40779,40756,40837
Louisiana,54424,51168,50758,48979,49871,49542
Maine,40507,39977,39812,39538,40197,40393
Maryland,56536,57214,56830,56457,56732,57411
Massachusetts,64674,65746,66720,66288,67103,69164
Michigan,40595,41662,42366,42864,43421,44370
Minnesota,53640,54364,54725,55508,56522,56732
Mississippi,33660,33158,33395,33344,33270,33400
Missouri,44988,44378,44621,45008,45027,45419
Montana,40932,41603,41858,41934,42250,43423
Nebraska,53475,55566,55136,56248,56957,58025
Nevada,47664,47728,46520,46033,45788,46886
New Hampshire,50461,50700,51244,52018,52288,53521
New Jersey,58679,57767,58516,58711,58708,59546
New Mexico,42141,41952,42044,41486,42795,43612
New York,65420,65002,67384,66927,68182,69098
North Carolina,45268,45440,45060,45215,45631,46597
North Dakota,55887,61245,73206,72666,76225,72338
Ohio,45158,46668,46836,47615,49196,49730
Oklahoma,42353,43631,45471,46132,48533,49884
Oregon,44048,44979,44812,44852,45950,47667
Pennsylvania,48970,49547,50228,50970,51976,53000
Rhode Island,48869,48728,49054,49473,49497,50230
South Carolina,36707,37265,37163,37546,37988,38685
South Dakota,49165,51976,52181,51753,51916,53089
Tennessee,41965,42963,43984,44186,44576,45636
Texas,51571,52401,54121,55595,56108,57928
Utah,44439,45130,45098,45484,46242,47371
Vermont,44917,45885,46175,45522,45537,46072
Virginia,54487,54469,54337,54052,53569,54281
Washington,56554,56874,58173,59043,60357,61899
West Virginia,36910,37554,37405,37876,37803,37813
Wisconsin,46542,47385,47953,48145,48899,49514
Wyoming,70523,69407,66651,66119,66104,67551
